var_name,var_name_raw,dataset_id
PRJPOP,PRJL1ADPOP,PRJT_L1AD
PRJPOP,PRJL1ADPOPF,PRJT_L1AD
PRJPOP,PRJL1ADPOPM,PRJT_L1AD
INCLUDENOUNITCHG,INCLUDE_NOUNITCHG_L1AD,PRJT_L1AD
INCLUDENOBDRYCHG,INCLUDE_NOBDRYCHG_L1AD,PRJT_L1AD
