var_name,var_name_raw,dataset_id
APSPM25GRIDPTS,APSPM25GRIDPTSL1AD,APSL1AD
APSPM25MEAN,APSPM25MEANL1AD,APSL1AD
APSPM25STD,APSPM25STDL1AD,APSL1AD
APSPM25MEDIAN,APSPM25MEDIANL1AD,APSL1AD
APSPM25THRES,APSPM25THRESL1AD,APSL1AD
APSPM25POPWT,APSPM25POPWTL1AD,APSL1AD
APSNO2GRIDPTS,APSNO2GRIDPTSL1AD,APSL1AD
APSNO2MEAN,APSNO2MEANL1AD,APSL1AD
APSNO2STD,APSNO2STDL1AD,APSL1AD
APSNO2MEDIAN,APSNO2MEDIANL1AD,APSL1AD
